Week,Day,           Time,      Activity
34,  Lunes,         10:00 AM,
34,  Martes,        10:00 AM,      
34,  Miércoles,     10:00 AM,   
34,  Jueves,        10:00 AM,      
34,  Viernes,       10:00 AM,     
35,  Lunes,         10:00 AM,
35,  Martes,        10:00 AM,      
35,  Miércoles,     10:00 AM,   
35,  Jueves,        10:00 AM,      
35,  Viernes,       10:00 AM,     
36,  Lunes,         10:00 AM,
36,  Martes,        10:00 AM,      
36,  Miércoles,     10:00 AM,   
36,  Jueves,        10:00 AM,      
36,  Viernes,       10:00 AM,     
37,  Lunes,         10:00 AM,
37,  Martes,        10:00 AM,      
37,  Miércoles,     10:00 AM,   
37,  Jueves,        10:00 AM,      
37,  Viernes,       10:00 AM,     
38,  Lunes,         10:00 AM,
38,  Martes,        10:00 AM,      
38,  Miércoles,     10:00 AM,   
38,  Jueves,        10:00 AM,      
38,  Viernes,       10:00 AM,     
39,  Lunes,         10:00 AM,
39,  Martes,        10:00 AM,      
39,  Miércoles,     10:00 AM,   
39,  Jueves,        10:00 AM,      
39,  Viernes,       10:00 AM,     
40,  Lunes,         10:00 AM,
40,  Martes,        10:00 AM,      
40,  Miércoles,     10:00 AM,   
40,  Jueves,        10:00 AM,      
40,  Viernes,       10:00 AM,     
41,  Lunes,         10:00 AM,
41,  Martes,        10:00 AM,      
41,  Miércoles,     10:00 AM,   
41,  Jueves,        10:00 AM,      
41,  Viernes,       10:00 AM,     
42,  Lunes,         10:00 AM,
42,  Martes,        10:00 AM,      
42,  Miércoles,     10:00 AM,   
42,  Jueves,        10:00 AM,      
42,  Viernes,       10:00 AM,     
43,  Lunes,         10:00 AM,
43,  Martes,        10:00 AM,      
43,  Miércoles,     10:00 AM,   
43,  Jueves,        10:00 AM,      
43,  Viernes,       10:00 AM,   
