Week,Day,           Time,      Activity
34,  Martes,        13:55 AM,      
34,  Miércoles,      9:10 AM,   
34,  Jueves,         9:10 AM,      
34,  Viernes,       13:05 AM,     
35,  Lunes,          7:00 AM,
35,  Martes,        13:55 AM,      
35,  Miércoles,      9:10 AM,   
35,  Jueves,         9:10 AM,      
35,  Viernes,       13:05 AM,     
36,  Lunes,          7:00 AM,
36,  Martes,        13:55 AM,      
36,  Miércoles,      9:10 AM,   
36,  Jueves,         9:10 AM,      
36,  Viernes,       13:05 AM,     
37,  Lunes,          7:00 AM,
37,  Martes,        13:55 AM,      
37,  Miércoles,      9:10 AM,   
37,  Jueves,         9:10 AM,      
37,  Viernes,       13:05 AM,     
38,  Lunes,          7:00 AM,
38,  Martes,        13:55 AM,      
38,  Miércoles,      9:10 AM,   
38,  Jueves,         9:10 AM,      
38,  Viernes,       13:05 AM,     
39,  Lunes,          7:00 AM,
39,  Martes,        13:55 AM,      
39,  Miércoles,      9:10 AM,   
39,  Jueves,         9:10 AM,      
39,  Viernes,       13:05 AM,     
40,  Lunes,          7:00 AM,
40,  Martes,        13:55 AM,      
40,  Miércoles,      9:10 AM,   
40,  Jueves,         9:10 AM,      
40,  Viernes,       13:05 AM,     
41,  Lunes,          7:00 AM,
41,  Martes,        13:55 AM,      
41,  Miércoles,      9:10 AM,   
41,  Jueves,         9:10 AM,      
41,  Viernes,       13:05 AM,     
42,  Lunes,          7:00 AM,
42,  Martes,        13:55 AM,      
42,  Miércoles,      9:10 AM,   
42,  Jueves,         9:10 AM,      
42,  Viernes,       13:05 AM,     
43,  Lunes,          7:00 AM,
43,  Martes,        13:55 AM,      
43,  Miércoles,      9:10 AM,   
43,  Jueves,         9:10 AM,      
43,  Viernes,       13:05 AM,     
