Fecha,Color
2027-02-01,Red!50
2027-02-02,
2027-02-03,
2027-02-04,
2027-02-05,
2027-02-08,
2027-02-09,
2027-02-10,
2027-02-11,
2027-02-12,
2027-02-15,
2027-02-16,
2027-02-17,
2027-02-18,
2027-02-19,
2027-02-22,
2027-02-23,
2027-02-24,
2027-02-25,
2027-02-26,Red!50
2027-03-01,
2027-03-02,
2027-03-03,
2027-03-04,
2027-03-05,
