Week,Day,           Time,      Activity
1, Martes,11:20 AM,       A.1.  Suma de números
1, Miércoles,11:20 AM,    A.2.  Resta de números
1, Jueves,11:20 AM,       A.3.  Multiplicación de números
1, Viernes,7:50 AM,       A.4.  División de números
1, Viernes,11:20 AM,      A.5.  Resolución de problemas
2, Martes,11:20 AM,       A.6.  Clasificación de fracciones
2, Miércoles,11:20 AM,    A.7.  Representación de fracciones
2, Jueves,11:20 AM,       A.8.  Nombre de fracciones
2, Viernes,7:50 AM,       A.9.  Fracciones en la recta numérica
2, Viernes,11:20 AM,      A.10. Conversión de fracciones
3, Martes,11:20 AM,       A.11. Comparación de fracciones
3, Miércoles,11:20 AM,    
3, Jueves,11:20 AM,       A.12. Fracciones equivalentes
3, Viernes,7:50 AM,       A.13. M.C.D y M.C.M
3, Viernes,11:20 AM,      A.14. Simplificación de fracciones
4, Martes,11:20 AM,       Continuación de A.14
4, Miércoles,11:20 AM,    A.15. Resolución de problemas
4, Jueves,11:20 AM,       A.16. Suma y resta con denominadores iguales
4, Viernes,7:50 AM,       CTE    
4, Viernes,11:20 AM,      CTE    
5, Martes,11:20 AM,       A.17. Suma y resta denominadores diferentes
5, Miércoles,11:20 AM,    Continuación de A.17
5, Jueves,11:20 AM,       Continuación de A.17
5, Viernes,7:50 AM,       A.18. Multiplicación de fracciones 
5, Viernes,11:20 AM,      A.19. División de fracciones
6, Martes,11:20 AM,       A.20. Resolución de problemas
6, Miércoles,11:20 AM,    Continuación de A.20
6, Jueves,11:20 AM,       A.21. Ubicación en la recta numérica
6, Viernes,7:50 AM,       A.22. Comparación de negativos
6, Viernes,11:20 AM,      A.23. Oraciones con números negativos
7, Martes,11:20 AM,       A.24. Determina el signo con sumas y restas
7, Miércoles,11:20 AM,    A.25. Determina el signo con multiplicaciones y divisiones
7, Jueves,11:20 AM,       A.26. Comparación de negativos
7, Viernes,7:50 AM,       A.27. Suma y resta con negativos
7, Viernes,11:20 AM,      Continuación de A.27
8, Martes,11:20 AM,       A.28. Multiplicación y división con negativos
8, Miércoles,11:20 AM,    Continuación de A.28
8, Jueves,11:20 AM,       A.29. Potencias con números negativos
8, Viernes,7:50 AM,       A.30. Jerarquía de operaciones
8, Viernes,11:20 AM,      Continuación de A.30
9, Martes,11:20 AM,       REPASO
9, Miércoles,11:20 AM,    REPASO
9, Jueves,11:20 AM,       REPASO
9, Viernes,7:50 AM,       CTE
9, Viernes,11:20 AM,      CTE
10,Martes,11:20 AM,      REPASO
10,Miércoles,11:20 AM,   REPASO
10,Jueves,11:20 AM,      REPASO
10,Viernes,7:50 AM,      EXAMEN
10,Viernes,11:20 AM,     EXAMEN
11,Martes,11:20 AM,      A.31. Ubicación en la recta numérica
11,Miércoles,11:20 AM,   A.32. Porcentajes a decimal
11,Jueves,11:20 AM,      A.33. Operaciones con múltiplos de 10
11,Viernes,7:50 AM,      A.34. Conversión de fracciones a decimales
11,Viernes,11:20 AM,     A.35. Conversión de decimales a fracciones
12,Martes,11:20 AM,      A.36. Suma de decimales
12,Miércoles,11:20 AM,   A.37. Resta de decimales
12,Jueves,11:20 AM,      A.38. Multiplicación de decimales
12,Viernes,7:50 AM,      A.39. División de decimales
12,Viernes,11:20 AM,     A.40. Resolución de problemas
13,Martes,11:20 AM,      A.41. Porcentajes a decimal
13,Miércoles,11:20 AM,   A.42. Decimal a porcentaje
13,Jueves,11:20 AM,      A.43. Porcentaje de cantidades 1
13,Viernes,7:50 AM,      A.44. Porcentaje de cantidades 2
13,Viernes,11:20 AM,     A.45. Resolución de problemas
14,Martes,11:20 AM,      A.46. Potenciación 1
14,Miércoles,11:20 AM,   A.47. Potenciación 2
14,Jueves,11:20 AM,      A.48. Notación científica 1
14,Viernes,7:50 AM,      A.49. Notación científica 2
14,Viernes,11:20 AM,     A.50. Raíces
15,Martes,11:20 AM,      A.51. Unidades de longitud
15,Miércoles,11:20 AM,   A.52. Unidades de masa
15,Jueves,11:20 AM,      A.53. Unidades de capacidad
15,Viernes,7:50 AM,      A.54. Unidades de área y volumen
15,Viernes,11:20 AM,     A.55. Unidades de capacidad 2
16,Martes,11:20 AM,      A.56. Completa la sucesión aritmética 1
16,Miércoles,11:20 AM,   A.57. Completa la sucesión aritmética 2
16,Jueves,11:20 AM,      A.58. Completa la sucesión geométrica
16,Viernes,7:50 AM,      A.59. Diferencia de una sucesión
16,Viernes,11:20 AM,     A.60. Término de una sucesión
19,Martes,11:20 AM,      
19,Miércoles,11:20 AM,   
19,Jueves,11:20 AM,      A.61. Razones y proporciones
19,Viernes,7:50 AM,      A.62. Variación directa e inversa
19,Viernes,11:20 AM,     A.63. Mediana y moda
20,Martes,11:20 AM,      A.64. Promedio
20,Miércoles,11:20 AM,   A.65. Interpretación de gráficas
20,Jueves,11:20 AM,      A.66. Diámetro de un círculo
20,Viernes,7:50 AM,      A.67. Radio de un círculo
20,Viernes,11:20 AM,     A.68. Perímetro
21,Martes,11:20 AM,      A.69. Área
21,Miércoles,11:20 AM,   A.70. Resolución de problemas
21,Jueves,11:20 AM,      A.71. Lenguaje algebraico
21,Viernes,7:50 AM,      A.72. Ecuaciones $x+a=b$
21,Viernes,11:20 AM,     A.73. Ecuaciones $ax=b$
22,Martes,11:20 AM,      A.74. Ecuaciones $ax+b=c$
22,Miércoles,11:20 AM,   A.75. Resolución de problemas
22,Jueves,11:20 AM,      A.76. Perímetro
22,Viernes,7:50 AM,      A.77. Área
22,Viernes,11:20 AM,     A.78. Área lateral y total
23,Martes,11:20 AM,      A.79. Volumen
23,Miércoles,11:20 AM,   A.80. Resolución de problemas
23,Jueves,11:20 AM,      
23,Viernes,7:50 AM,      
23,Viernes,11:20 AM,     
24,Martes,11:20 AM,      
24,Miércoles,11:20 AM,   
24,Jueves,11:20 AM,      
24,Viernes,7:50 AM,      
24,Viernes,11:20 AM,     
25,Martes,11:20 AM,      
25,Miércoles,11:20 AM,   
25,Jueves,11:20 AM,      
25,Viernes,7:50 AM,      
25,Viernes,11:20 AM,     
26,Martes,11:20 AM,      
26,Miércoles,11:20 AM,   
26,Jueves,11:20 AM,      
26,Viernes,7:50 AM,      
26,Viernes,11:20 AM,     
27,Martes,11:20 AM,      
27,Miércoles,11:20 AM,   
27,Jueves,11:20 AM,      
27,Viernes,7:50 AM,      
27,Viernes,11:20 AM,     
28,Martes,11:20 AM,      
28,Miércoles,11:20 AM,   
28,Jueves,11:20 AM,      
28,Viernes,7:50 AM,      
28,Viernes,11:20 AM,     
29,Martes,11:20 AM,      
29,Miércoles,11:20 AM,   
29,Jueves,11:20 AM,      
29,Viernes,7:50 AM,      
29,Viernes,11:20 AM,     
32,Martes,11:20 AM,      
32,Miércoles,11:20 AM,   
32,Jueves,11:20 AM,      
32,Viernes,7:50 AM,      
32,Viernes,11:20 AM,     
33,Martes,11:20 AM,      
33,Miércoles,11:20 AM,   
33,Jueves,11:20 AM,      
33,Viernes,7:50 AM,      
33,Viernes,11:20 AM,     
34,Martes,11:20 AM,      REPASO
34,Miércoles,11:20 AM,   REPASO
34,Jueves,11:20 AM,      REPASO
34,Viernes,7:50 AM,      EXAMEN
34,Viernes,11:20 AM,     EXAMEN
35,Martes,11:20 AM,      
35,Miércoles,11:20 AM,   
35,Jueves,11:20 AM,      
35,Viernes,7:50 AM,      
35,Viernes,11:20 AM,     
36,Martes,11:20 AM,      
36,Miércoles,11:20 AM,   
36,Jueves,11:20 AM,      
36,Viernes,7:50 AM,      
36,Viernes,11:20 AM,     
37,Martes,11:20 AM,      
37,Miércoles,11:20 AM,   
37,Jueves,11:20 AM,      
37,Viernes,7:50 AM,      
37,Viernes,11:20 AM,     
38,Martes,11:20 AM,      
38,Miércoles,11:20 AM,   
38,Jueves,11:20 AM,      
38,Viernes,7:50 AM,      
38,Viernes,11:20 AM,     
39,Martes,11:20 AM,      
39,Miércoles,11:20 AM,   
39,Jueves,11:20 AM,      
39,Viernes,7:50 AM,      
39,Viernes,11:20 AM,     
40,Martes,11:20 AM,      
40,Miércoles,11:20 AM,   
40,Jueves,11:20 AM,      
40,Viernes,7:50 AM,      
40,Viernes,11:20 AM,     
41,Martes,11:20 AM,      
41,Miércoles,11:20 AM,   
41,Jueves,11:20 AM,      
41,Viernes,7:50 AM,      
41,Viernes,11:20 AM,     
42,Martes,11:20 AM,      
42,Miércoles,11:20 AM,   
42,Jueves,11:20 AM,      
42,Viernes,7:50 AM,      
42,Viernes,11:20 AM,     
43,Martes,11:20 AM,      
43,Miércoles,11:20 AM,   
43,Jueves,11:20 AM,      
43,Viernes,7:50 AM,      
43,Viernes,11:20 AM,     
