Week,Day,           Time,      Activity
34,   Viernes,       13:55 PM,
35,   Lunes,         12:15 PM,
35,   Lunes,         13:55 PM,
35,   Martes,        12:15 PM,
35,   Miércoles,     12:15 PM,
35,   Miércoles,     13:55 PM,
35,   Viernes,       13:55 PM,  CTE
36,   Lunes,         12:15 PM,
36,   Lunes,         13:55 PM,
36,   Martes,        12:15 PM,
36,   Miércoles,     12:15 PM,  No hay clases
36,   Miércoles,     13:55 PM,  No hay clases
36,   Viernes,       13:55 PM,
37,   Lunes,         12:15 PM,
37,   Lunes,         13:55 PM,
37,   Martes,        12:15 PM,
37,   Miércoles,     12:15 PM,
37,   Miércoles,     13:55 PM,
37,   Viernes,       13:55 PM,
38,   Lunes,         12:15 PM,
38,   Lunes,         13:55 PM,
38,   Martes,        12:15 PM,
38,   Miércoles,     12:15 PM,
38,   Miércoles,     13:55 PM,
38,   Viernes,       13:55 PM,
39,   Lunes,         12:15 PM,
39,   Lunes,         13:55 PM,
39,   Martes,        12:15 PM,
39,   Miércoles,     12:15 PM,
39,   Miércoles,     13:55 PM,
39,   Viernes,       13:55 PM,  CTE
40,   Lunes,         12:15 PM,
40,   Lunes,         13:55 PM,
40,   Martes,        12:15 PM,
40,   Miércoles,     12:15 PM,
40,   Miércoles,     13:55 PM,
40,   Viernes,       13:55 PM,
41,   Lunes,         12:15 PM,
41,   Lunes,         13:55 PM,
41,   Martes,        12:15 PM,
41,   Miércoles,     12:15 PM,
41,   Miércoles,     13:55 PM,
41,   Viernes,       13:55 PM,
42,   Lunes,         12:15 PM,
42,   Lunes,         13:55 PM,
42,   Martes,        12:15 PM,
42,   Miércoles,     12:15 PM,
42,   Miércoles,     13:55 PM,
42,   Viernes,       13:55 PM,
43,   Lunes,         12:15 PM,
43,   Lunes,         13:55 PM,
43,   Martes,        12:15 PM,
43,   Miércoles,     12:15 PM,
43,   Miércoles,     13:55 PM,
43,   Viernes,       13:55 PM,  CTE
