Week,Day,           Time,      Activity
40,   Viernes,        7:00 AM,
41,   Lunes,          9:10 AM,
41,   Martes,        13:05 AM,
41,   Miércoles,      7:00 AM,
41,   Jueves,                ,
41,   Viernes,        7:00 AM,
42,   Lunes,          9:10 AM,
42,   Martes,        13:05 AM,
42,   Miércoles,      7:00 AM,
42,   Jueves,                ,
42,   Viernes,        7:00 AM,
43,   Lunes,          9:10 AM,
43,   Martes,        13:05 AM,
43,   Miércoles,      7:00 AM,
43,   Jueves,                ,
43,   Viernes,        7:00 AM,
