Fecha,Color
2027-04-26,
2027-04-27,
2027-04-28,
2027-04-29,
2027-04-30,Red!50
2027-05-03,
2027-05-04,
2027-05-05,Red!50
2027-05-06,
2027-05-07,
2027-05-10,
2027-05-11,
2027-05-12,
2027-05-13,
2027-05-14,
2027-05-17,
2027-05-18,
2027-05-19,
2027-05-20,
2027-05-21,
2027-05-24,
2027-05-25,
2027-05-26,
2027-05-27,
2027-05-28,Red!50
